snid,label_name,label_id,sim_z,observation_count,time_span,observed_band_count,peak_flux_all,time_of_peak_all,amplitude_all,mean_flux_all,std_flux_all,total_snr,g_peak_flux,g_time_of_peak,g_mean_flux,g_std_flux,g_amplitude,r_peak_flux,r_time_of_peak,r_mean_flux,r_std_flux,r_amplitude,i_peak_flux,i_time_of_peak,i_mean_flux,i_std_flux,i_amplitude,z_peak_flux,z_time_of_peak,z_mean_flux,z_std_flux,z_amplitude,peak_color_g_minus_r,peak_color_r_minus_i,peak_color_i_minus_z
17,II,2,0.3972,93,134.01900000000023,4,1.6263403673750423,73.97600000000239,1.8981215755411076,0.6646512999605078,1.0463452321664286,2.5151713498040937,1.6258267132857112,59.96100000000297,0.5395681768862056,1.0814694386615704,1.8978469315795716,1.6043340731029112,64.98400000000402,0.6496891398447785,0.9972210047733112,1.651965748375118,1.5940609012704183,57.97200000000157,0.7025468960629289,1.0092715766457059,1.6027662310504471,1.6263403673750423,73.97600000000239,0.7412685408143348,1.0785846642341823,1.7028611705729293,-0.05506777646434288,-0.02634595018926858,0.08272897357975406
19,II,2,0.9674,60,97.03100000000268,4,1.5237464668115646,71.12099999999919,1.6961815871685237,0.37363522458920245,0.8236413023601228,2.0615103945325672,1.2329961103921538,67.03100000000268,0.1038584317751151,0.7043704344229272,1.523486332343228,1.5237464668115646,71.12099999999919,0.4347793474848865,0.9189385608192988,1.6368488225791462,1.38147609027503,75.03499999999622,0.36703738374829226,0.7904437966863441,1.5275010109811202,1.4089180208467798,84.0659999999989,0.4963709761348187,0.810341983762826,1.525563058270067,0.759297835436906,-0.3687435392137966,0.07148277242823588
126,II,2,0.5621,141,156.8399999999965,4,1.2986347831244356,63.77700000000186,1.5141491344754374,0.20911470194705895,0.5840900859087167,2.3435422550682232,1.255754786643044,34.78899999999703,0.06911705449201322,0.5644559447854787,1.4885507165004441,1.160768561861128,66.84399999999732,0.219763945071537,0.5238486575006758,1.305437359840312,1.2986347831244356,63.77700000000186,0.19463024849061236,0.549472966407241,1.3803198017626408,1.2922560713564761,27.065999999998894,0.3175233891508494,0.6597213820738291,1.3994314179340583,-0.25317415887317013,0.3663551643063313,-0.016797534259793214
172,II,2,0.4458,115,127.9409999999989,4,1.5021538928713607,45.03900000000431,1.8025684983139565,0.5578851921063257,0.8890295765336839,2.665566482814189,1.4173055832445256,9.984000000004016,0.08081727612371546,0.7863859656542179,1.7621531923035947,1.448242412634439,50.875,0.5327410891454434,0.8091594750644886,1.5332635167787148,1.4500950758716022,54.0,0.6531535967885561,0.8867055689472656,1.4500950758716022,1.5021538928713607,45.03900000000431,0.7274403271731718,0.9760806419674317,1.5110862005552022,0.0803074560514187,0.0048023795424843,0.1346485197698995
303,Ib,32,0.9024,112,160.84799999999814,4,1.5414544287475889,72.88700000000244,1.8394151926838935,0.19103975116940836,0.7992719747855598,2.133531174015528,1.3178544893314692,103.94199999999546,-0.2306014678923234,0.8111704916324532,1.7410727723733213,1.3191060593097763,69.99300000000221,0.17444991468546708,0.6722359949251634,1.6184664921990803,1.5414544287475889,72.88700000000244,0.29388340353156334,0.8457690252791668,1.778368343355874,1.4116197059632303,66.02399999999761,0.3889912551469723,0.8112235055034016,1.5394775728051002,0.0032867922318441877,0.5775692016894061,-0.3358412773717
488,II,2,0.7708,145,161.84399999999732,4,1.2893659515200318,71.84799999999814,1.8654593226619647,0.12618743640612684,0.6366434102783022,2.29422215216676,0.8591983615338774,56.862999999997555,-0.15295825241273156,0.7574621001425708,1.78619045111294,1.2893659515200318,71.84799999999814,0.1651194255994913,0.5196841806558834,1.3803017103051844,1.049605612594973,102.91799999999785,0.17099348983857826,0.5154780730714336,1.2553448814857588,1.1961761850399732,160.84399999999732,0.26145484318912215,0.6311936258705453,1.4413808849165115,1.1797728604636997,-0.6436028833833276,0.3964673266015496
556,IIn,21,0.4532,100,99.01900000000023,4,1.780677274433368,0.0,1.821067869584852,0.6949014972391933,1.0514178674769543,2.707104835769223,1.780677274433368,0.0,0.6724857037205266,1.0903063028832074,1.821067869584852,1.7428036584691655,0.01600000000325963,0.6792888637830182,1.0480047742141096,1.7428036584691655,1.6902847025126295,2.1560000000026776,0.7191621775856611,1.0404028106189596,1.6902847025126295,1.6434526764861874,2.186999999998079,0.706963784416189,1.0201427670939833,1.6459878593197266,-0.09635230124495628,-0.13387024205865464,-0.11965812597394798
565,II,2,0.7699,161,174.90699999999924,4,1.2986347831244356,144.8989999999976,1.7139103541289553,0.25367561994120236,0.6221144650456825,2.450123442877238,1.2986347831244356,144.8989999999976,0.09208459329330333,0.6663679892455201,1.7139103541289553,1.2219355998280053,69.9340000000011,0.2921814988654882,0.6096767103723177,1.2947527219101778,1.1212314551496214,60.90299999999843,0.262061578648817,0.5673925020062826,1.262901762654138,1.230959555748569,45.13300000000163,0.3323098400210797,0.6241101689809743,1.3197512933763196,-0.20290740363310858,-0.26999447640513663,0.29397826460420845
642,Ia,1,0.8128,113,157.8480000000054,4,1.7018269303971394,51.1140000000014,1.882865919721629,0.40235178605524546,0.8812665532234014,2.198257015457859,1.0610753236297918,50.06300000000192,-0.1395249672786353,0.7101834986833871,1.5744942682853276,1.213517756996305,29.942000000002736,0.3075717616363293,0.62049659375442,1.3478177127089124,1.7018269303971394,51.1140000000014,0.5515090471257099,0.9752283079042934,1.78632543439007,1.6721902511882525,42.942000000002736,0.5899652114207894,0.9698898112318497,1.732835871683919,0.4112641594624077,1.2675068391223399,-0.07564720549336271
696,IIL,23,0.3548,133,134.90699999999924,4,1.4434194617828173,34.042999999997846,1.6136304349252406,0.23463588918615055,0.5952666878982681,2.264863016409522,1.1863912156954932,58.84799999999814,0.14708683263781552,0.5679635448441432,1.4575791469957624,1.2011238972073797,33.99700000000303,0.20133086712679796,0.4740133327783776,1.337898325645036,1.3163897510731954,34.012000000002445,0.22495710076282638,0.6182598738300675,1.4481186202921477,1.4434194617828173,34.042999999997846,0.34131281849071954,0.6639625340158284,1.5139230883244943,0.03935064461473663,0.30503053213254055,0.3314479962264829
