feature,count,min,q25,median,mean,q75,max,std
z_peak_flux,21319,0.0,1.3259259557714662,1.4985862088175177,1.5348929834587037,1.7005739263303243,4.225851810818157,0.3028971281083582
r_mean_flux,21319,-0.38206055585014004,0.26368775651152576,0.4135419903224036,0.48215945830479884,0.6278813058932969,3.3299222850419326,0.3148996906704603
peak_color_g_minus_r,21319,-4.311089851535105,-0.3081152097989577,0.09553046813498876,0.10164638599250798,0.5776690681691216,5.0,0.725676370060166
i_peak_flux,21319,0.4034637013453175,1.3160752221751852,1.4848690327204024,1.5344735913963643,1.687707279624819,4.018742095762382,0.31418648319273795
peak_color_r_minus_i,21319,-2.5864690518194386,-0.06348746753202342,0.15556343342717027,0.2187414897398103,0.45583805242709946,3.5191404353358196,0.43918884667702685
peak_color_i_minus_z,21319,-5.0,-0.18971179216229253,0.010484954616383223,0.001418474242215109,0.21252362601308336,2.9586584608573565,0.3687813570058747
g_mean_flux,21319,-0.5883716394017363,0.03739583132764263,0.19430638876099873,0.2604925602853961,0.40732211805646124,3.12205196263325,0.3396340207643675
r_peak_flux,21319,0.4060289449636151,1.2185355052165279,1.408748606184244,1.4513008587775391,1.6165280219872258,4.13484620892477,0.34106400974127704
z_std_flux,21319,0.2962879561623056,0.7297503015968549,0.8951267751785257,0.9384951943077063,1.0841387182086444,3.686155130778472,0.2910534514299739
i_amplitude,21319,0.7512791039833423,1.4449265484226397,1.5986810989071634,1.6421754280366925,1.7887020685182011,4.018742095762382,0.2835526428209127
i_std_flux,21319,0.25311231831428666,0.7115049759608962,0.8773276457550013,0.9282524091843768,1.059098536332927,3.5093082027168716,0.3009535199170941
time_span,21319,30.0,95.1050000000032,125.85200000000623,122.23241502884719,146.98400000000402,174.90699999999924,33.731346099583064
z_time_of_peak,21319,0.0,44.10599999999977,58.93399999999383,56.300105539659405,69.9059999999954,174.90699999999924,27.471202234903632
i_time_of_peak,21319,0.0,42.020000000004075,54.0,51.526696702472066,67.0,157.8640000000014,25.85842114039307
r_time_of_peak,21319,0.0,37.07600000000457,52.85599999999977,47.35720090060499,61.85199999999895,171.79300000000512,23.608784507603254
r_std_flux,21319,0.18843063595576837,0.6103146417339166,0.7867176931524436,0.841297185690996,0.9918632308363854,3.591276453293221,0.3243548675396786
